Course_number,status,submission_time
CIT582,Approve,2022-01-07 10:23:14Z
CIT594,Approve,2022-01-07 11:14:17Z
CIT591,Approve,2022-01-10 19:39:33Z
CIT591,Approve,2022-01-10 19:39:47Z
CIT591,Approve,2022-01-10 19:40:14Z
CIT593,Reject,2022-01-12 22:58:10Z
CIT582,Approve,2022-01-16 10:13:03Z
CIT591,Approve,2022-01-16 17:07:27Z
CIT591,Approve,2022-01-18 07:57:49Z
CIT594,Reject,2022-01-18 09:10:33Z
CIT582,Approve,2022-01-18 14:23:19Z
CIT582,Approve,2022-01-18 14:24:46Z
CIT582,Approve,2022-01-18 14:26:22Z
CIT594,Approve,2022-01-18 14:34:03Z
CIT594,Approve,2022-01-18 14:34:45Z
CIT591,Approve,2022-01-18 20:00:53Z
CIT582,Approve,2022-01-19 11:25:09Z
CIT582,Approve,2022-01-19 11:27:57Z
CIT582,Approve,2022-01-19 11:28:13Z
CIT591,Approve,2022-01-20 08:15:14Z
CIT594,Approve,2022-01-20 09:10:33Z
CIT594,Approve,2022-01-21 08:35:09Z
CIT594,Approve,2022-01-21 08:45:38Z
CIT582,Approve,2022-01-21 09:26:28Z
CIT591,Approve,2022-01-21 11:15:40Z
CIT582,Approve,2022-01-22 12:35:18Z
CIS550,Approve,2022-01-22 12:38:40Z
CIS550,Approve,2022-01-22 13:08:25Z
CIS550,Approve,2022-01-23 11:17:55Z
CIS550,Approve,2022-01-23 11:19:19Z
CIS550,Approve,2022-01-23 11:15:41Z
CIT594,Approve,2022-01-23 11:25:43Z
CIT582,Approve,2022-01-23 11:27:04Z
CIT582,Approve,2022-01-23 11:27:18Z
CIS550,Approve,2022-01-23 11:32:31Z
CIT594,Approve,2022-01-23 11:30:28Z
CIS550,Approve,2022-01-23 11:54:34Z
CIT591,Reject,2022-01-23 13:31:38Z
CIT582,Approve,2022-01-23 16:52:33Z
CIT582,Approve,2022-01-23 16:53:51Z
CIT591,Reject,2022-01-24 09:09:00Z
CIS550,Approve,2022-01-24 10:12:31Z
CIS550,Approve,2022-01-24 10:13:29Z
CIS550,Approve,2022-01-24 10:14:49Z
CIS550,Approve,2022-01-24 10:10:26Z
CIS550,Approve,2022-01-24 10:37:22Z
CIS550,Approve,2022-01-24 10:38:42Z
CIS550,Approve,2022-01-24 10:39:54Z
CIS550,Approve,2022-01-24 10:40:47Z
CIT582,Approve,2022-01-24 11:08:23Z
CIT582,Reject,2022-01-24 11:09:03Z
CIT591,Approve,2022-01-24 11:09:28Z
CIT593,Approve,2022-01-24 11:12:03Z
CIT582,Approve,2022-01-24 11:14:22Z
CIT591,Reject,2022-01-24 11:05:31Z
CIT582,Approve,2022-01-24 11:30:56Z
CIS550,Approve,2022-01-24 12:04:31Z
CIS550,Approve,2022-01-24 12:05:16Z
CIT593,Approve,2022-01-24 14:04:27Z
CIT594,Approve,2022-01-24 14:06:59Z
CIS550,Approve,2022-01-24 16:21:13Z
CIT582,Approve,2022-01-24 16:22:03Z
CIS550,Approve,2022-01-24 18:23:58Z
CIT591,Approve,2022-01-24 18:44:51Z
CIT591,Approve,2022-01-24 18:45:26Z
CIT593,Approve,2022-01-24 18:52:32Z
CIS550,Approve,2022-01-24 21:25:08Z
CIT591,Approve,2022-01-25 08:23:55Z
CIS550,Approve,2022-01-25 08:25:06Z
CIS550,Approve,2022-01-25 08:57:05Z
CIT593,Approve,2022-01-25 10:12:05Z
CIT594,Approve,2022-01-25 11:04:00Z
CIT594,Approve,2022-01-25 11:05:03Z
CIS550,Approve,2022-01-25 13:21:20Z
CIT591,Approve,2022-01-25 14:09:28Z
CIT591,Approve,2022-01-26 09:23:41Z
CIT582,Approve,2022-01-26 14:33:19Z
CIT593,Approve,2022-01-26 18:39:34Z
CIT593,Approve,2022-01-26 18:40:50Z
CIS550,Approve,2022-01-26 20:20:53Z
CIT582,Approve,2022-01-27 09:03:24Z
CIS521,Approve,2022-01-27 18:34:23Z
CIT582,Approve,2022-01-27 20:22:09Z
CIT582,Approve,2022-01-27 20:22:40Z
CIT582,Approve,2022-01-27 20:23:20Z
CIT582,Approve,2022-01-27 20:24:22Z
CIT594,Approve,2022-01-27 20:32:48Z
CIT591,Reject,2022-01-27 20:34:08Z
CIT593,Approve,2022-01-27 20:26:31Z
CIS521,Approve,2022-01-27 21:14:31Z
CIT593,Approve,2022-01-28 10:39:50Z
CIS521,Approve,2022-01-28 16:23:20Z
CIT594,Approve,2022-01-28 17:19:03Z
CIT593,Reject,2022-01-29 11:01:23Z
CIT593,Approve,2022-01-29 11:02:13Z
CIT594,Approve,2022-01-29 11:02:22Z
CIS521,Approve,2022-01-29 11:06:01Z
CIT594,Reject,2022-01-29 11:00:31Z
CIT591,Approve,2022-01-30 11:23:10Z
CIT591,Approve,2022-01-30 11:23:22Z
CIT591,Approve,2022-01-30 11:23:33Z
CIS550,Approve,2022-01-30 11:30:10Z
CIT594,Approve,2022-01-30 11:34:53Z
CIT582,Approve,2022-01-30 17:04:50Z
CIT593,Approve,2022-01-30 17:08:28Z
CIT593,Approve,2022-01-30 17:11:20Z
CIT593,Reject,2022-01-30 17:11:33Z
CIT594,Approve,2022-01-30 17:14:48Z
CIT594,Approve,2022-01-30 17:17:56Z
CIT594,Reject,2022-01-30 17:18:16Z
CIS521,Reject,2022-01-30 17:19:15Z